row,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,subject_id,condition,correct,target_present,center
1,1980.19,"<p>Welcome to the experiment. Press any key to get started.</p>",32,html-keyboard-response,0,1984,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
2,5130.06,"<div style='width:800px;'><p>You will see a set of 10 symbols arranged in a circle.</p> <p>Sometimes all of the symbols will match. Other times one of the symbols will be different than the others.</p><p>Press the A key when one symbol is different. Press the L key when all symbols are the same.</p><p>Press any key to continue.</p></div>",122,html-keyboard-response,1,7115,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
3,4066.08,display1.jpg,65,image-keyboard-response,2,11183,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
4,3520.44,display2.jpg,76,image-keyboard-response,3,14704,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
5,4483.44,"<div style='width:800px;'><p>In this set of trials, a fixation cross will be presented to you in the center of the screen.</p><p>Please focus your gaze on the fixation cross in the center until the symbol set is presented.</p><p>Press any key to continue.</p></div>",76,html-keyboard-response,4,19189,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
6,6990.74,"<p>Now you will complete three trials for practice.</p><p>Press the A key if one of the symbols does not match and the L key if they all match.</p><p>Press any key when you are ready to begin.</p>",76,html-keyboard-response,5,26180,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
7,1141.06,NULL,76,visual-search-circle,6,28330,5c9c77127bc68a00124cedcc,3,1,false,cross
8,1805.74,NULL,76,visual-search-circle,7,31443,5c9c77127bc68a00124cedcc,3,1,false,cross
9,1071.63,NULL,76,visual-search-circle,8,33822,5c9c77127bc68a00124cedcc,3,1,false,cross
10,3352.97,"<p>Now you will proceed to the test trials.</p><p>Press the A key if one of the symbols does not match and the L key if they all match.</p><p>Press any key when you are ready to begin.</p>",76,html-keyboard-response,9,37478,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
11,1661.68,NULL,65,visual-search-circle,10,40147,5c9c77127bc68a00124cedcc,3,1,true,cross
12,1747.85,NULL,76,visual-search-circle,11,43202,5c9c77127bc68a00124cedcc,3,1,false,cross
13,1527.79,NULL,76,visual-search-circle,12,46037,5c9c77127bc68a00124cedcc,3,1,false,cross
14,2443.34,NULL,76,visual-search-circle,13,49788,5c9c77127bc68a00124cedcc,3,1,false,cross
15,1862.83,NULL,76,visual-search-circle,14,52960,5c9c77127bc68a00124cedcc,3,,true,cross
16,3145.96,NULL,76,visual-search-circle,15,57415,5c9c77127bc68a00124cedcc,3,1,false,cross
17,2043.39,NULL,65,visual-search-circle,16,60765,5c9c77127bc68a00124cedcc,3,1,true,cross
18,1048.62,NULL,65,visual-search-circle,17,63121,5c9c77127bc68a00124cedcc,3,,false,cross
19,1435.58,NULL,76,visual-search-circle,18,65864,5c9c77127bc68a00124cedcc,3,1,false,cross
20,2740.35,NULL,76,visual-search-circle,19,69913,5c9c77127bc68a00124cedcc,3,,true,cross
21,2702.79,NULL,76,visual-search-circle,20,73924,5c9c77127bc68a00124cedcc,3,1,false,cross
22,2644.4,NULL,76,visual-search-circle,21,77876,5c9c77127bc68a00124cedcc,3,1,false,cross
23,2320.84,NULL,65,visual-search-circle,22,81507,5c9c77127bc68a00124cedcc,3,1,true,cross
24,1701.88,NULL,65,visual-search-circle,23,84518,5c9c77127bc68a00124cedcc,3,1,true,cross
25,1882.61,NULL,76,visual-search-circle,24,87709,5c9c77127bc68a00124cedcc,3,1,false,cross
26,1444.7,NULL,65,visual-search-circle,25,90463,5c9c77127bc68a00124cedcc,3,1,true,cross
27,1581.96,NULL,76,visual-search-circle,26,93353,5c9c77127bc68a00124cedcc,3,1,false,cross
28,1366.18,NULL,76,visual-search-circle,27,96029,5c9c77127bc68a00124cedcc,3,1,false,cross
29,1439.39,NULL,65,visual-search-circle,28,98777,5c9c77127bc68a00124cedcc,3,1,true,cross
30,1391.71,NULL,65,visual-search-circle,29,101477,5c9c77127bc68a00124cedcc,3,1,true,cross
31,1712.29,NULL,76,visual-search-circle,30,104497,5c9c77127bc68a00124cedcc,3,1,false,cross
32,1458.61,NULL,65,visual-search-circle,31,107265,5c9c77127bc68a00124cedcc,3,1,true,cross
33,1711.41,NULL,76,visual-search-circle,32,110285,5c9c77127bc68a00124cedcc,3,1,false,cross
34,1831.41,NULL,76,visual-search-circle,33,113424,5c9c77127bc68a00124cedcc,3,,true,cross
35,1593.19,NULL,65,visual-search-circle,34,116326,5c9c77127bc68a00124cedcc,3,1,true,cross
36,2147.22,NULL,76,visual-search-circle,35,119781,5c9c77127bc68a00124cedcc,3,,true,cross
37,4476.08,"<div style='width:800px;'><p>Now the symbols will switch, where the target symbol will now be the nontarget and vice versa.</p><p>The rest of the procedure will remain the same for the next chunk of trials, so please continue to press the A key if one of the symbols does not match and the L key if they are all the same.</p><p>Press any key when you are ready to continue.</p></div>",76,html-keyboard-response,36,124558,5c9c77127bc68a00124cedcc,3,NULL,NULL,NULL
38,1375.37,NULL,76,visual-search-circle,37,126941,5c9c77127bc68a00124cedcc,3,1,false,cross
39,4200.08,NULL,76,visual-search-circle,38,132449,5c9c77127bc68a00124cedcc,3,1,false,cross
40,2018.42,NULL,76,visual-search-circle,39,135777,5c9c77127bc68a00124cedcc,3,1,false,cross
41,1151.26,NULL,65,visual-search-circle,40,138236,5c9c77127bc68a00124cedcc,3,1,true,cross
